"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"8197","DTE",2016-12-01,2016,0.0651408430511128,3e-04,0.0185,0.0648408430511128,0.0182,0.293007925313972,0.0595080988103985
"8215","DUK",2011-12-01,2011,0.0536885426508244,0,0.0074,0.0536885426508244,0.0074,0.350580883576581,0.0510942441123577
"8229","DUK",2012-12-01,2012,-0.000313473113804027,1e-04,0.0119,-0.000413473113804027,0.0118,0.350580883576581,-0.00455032754000768
"8244","DUK",2013-12-01,2013,-0.0136723377703277,0,0.0281,-0.0136723377703277,0.0281,0.350580883576581,-0.0235236605988296
"8253","DUK",2014-12-01,2014,0.0321118697881306,0,-6e-04,0.0321118697881306,-6e-04,0.350580883576581,0.0323222183182765
"8268","DUK",2015-12-01,2015,0.0521857237155146,1e-04,-0.0216,0.0520857237155146,-0.0217,0.350580883576581,0.0596933288891264
"8279","DUK",2016-12-01,2016,0.0508731798490497,3e-04,0.0185,0.0505731798490497,0.0182,0.350580883576581,0.0441926077679559
"8288","DVA",2011-12-01,2011,-0.00486877736398983,0,0.0074,-0.00486877736398983,0.0074,-0.190944483159355,-0.0034557881886106
"8302","DVA",2012-12-01,2012,0.0231557321040093,1e-04,0.0119,0.0230557321040093,0.0118,-0.190944483159355,0.0253088770052897
"8316","DVA",2013-12-01,2013,0.0621742685463901,0,0.0281,0.0621742685463901,0.0281,-0.190944483159355,0.0675398085231679
"8319","DVA",2014-12-01,2014,-0.0103764116875362,0,-6e-04,-0.0103764116875362,-6e-04,-0.190944483159355,-0.0104909783774319
"8337","DVA",2015-12-01,2015,-0.0466634848246781,1e-04,-0.0216,-0.0467634848246781,-0.0217,-0.190944483159355,-0.0509069801092361
"8348","DVA",2016-12-01,2016,0.0133282887704342,3e-04,0.0185,0.0130282887704342,0.0182,-0.190944483159355,0.0165034783639344
"8357","DVN",2011-12-01,2011,-0.0516544603304242,0,0.0074,-0.0516544603304242,0.0074,0.759691388492534,-0.057276176605269
"8365","DVN",2012-12-01,2012,0.0109548572919469,1e-04,0.0119,0.0108548572919469,0.0118,0.759691388492534,0.00189049890773497
"8377","DVN",2013-12-01,2013,0.0240341945635777,0,0.0281,0.0240341945635777,0.0281,0.759691388492534,0.00268686654693746
"8396","DVN",2014-12-01,2014,0.041486517895911,0,-6e-04,0.041486517895911,-6e-04,0.759691388492534,0.0419423327290065
"8411","DVN",2015-12-01,2015,-0.356341376053422,1e-04,-0.0216,-0.356441376053422,-0.0217,0.759691388492534,-0.339956072923134
