"";"Companies";"YearFinancialIndicator";"ROA";"TobinsQ";"ROE";"YearNewsWeekGR";"GreenScore";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"Green.Revenue";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"180";60;2015;0,04;0,63;0,1;2016;0,18;0;0,06;0;0;0,12;0;0;0;11,74;0,01;0,11;4
"181";61;2013;-0,01;1,14;-0,02;2014;0,29;0;0,27;0,44;0,49;0,31;0;0,05;0;10,22;0,65;-0,02;5
"182";61;2014;-0,01;1,21;-0,02;2015;0,67;0,06;0,07;0,09;0,1;0,15;0,1;0,05;0,05;10,23;0,6;-0,02;5
"183";61;2015;-0,01;1,63;-0,04;2016;0,72;0,08;0,07;0,09;0,12;0,15;0,1;0,05;0,05;10,26;0,9;-0,03;5
"184";62;2013;0,09;1,82;0,19;2014;0;0;0;0;0;0;0;0;0;9,84;0,29;0,08;1
"185";62;2014;0,09;1,71;0,18;2015;0,07;0;0;0;0;0,07;0;0;0;9,86;0,2;0,08;1
"186";62;2015;0,08;1,23;0,17;2016;0,16;0;0,09;0;0;0,07;0;0;0;9,95;0,6;0,08;1
"187";63;2013;0,04;0,84;0,13;2014;0,12;0;0;0;0;0,6;0;0;0;10,47;1,05;0,18;4
"188";63;2014;0,05;0,79;0,15;2015;0,1;0;0;0;0;0,1;0;0;0;10,5;0,78;0,21;4
"189";63;2015;0,03;1,17;0,07;2016;0,1;0;0;0;0;0,1;0;0;0;10,35;0,63;0,15;4
"190";64;2013;0,04;1,23;0,14;2014;0;0;0;0;0;0;0;0;0;10,3;2,05;0,35;4
"191";64;2014;0,02;1,41;0,08;2015;0,14;0;0;0;0;0,14;0;0;0;10,3;1,83;0,18;4
"192";64;2015;0,03;1,49;0,1;2016;0,22;0;0,08;0;0;0,14;0;0;0;10,26;1,64;0,23;4
